dayOfWeek,category,itemCost,satisfaction,online
sun,Software,15,9,0
sun,Furniture,122,4,1
thu,Virtual Goods,34,9,1
tue,Apparel,60,10,1
sat,Software,43,6,0
sat,Food,31,5,0
tue,Cosmetics,167,5,0
sat,Toys,42,5,0
sun,Food,42,5,1
fri,Virtual Goods,7,9,0
mon,Apparel,57,5,0
fri,Jewelry,33,5,1
fri,Collectible,21,6,1
wed,Software,89,3,0
mon,Household,54,4,0
fri,Household,16,4,1
sun,Furniture,39,8,0
thu,Virtual Goods,95,7,1
thu,Collectible,15,3,1
mon,Books,34,4,1
tue,Books,28,2,1
wed,Food,54,2,1
mon,Books,46,1,1
thu,Apparel,56,3,1
thu,Apparel,74,2,1
mon,Stationery,47,1,0
thu,Stationery,90,7,0
wed,Stationery,19,8,1
wed,Virtual Goods,45,1,1
thu,Toys,86,3,0
thu,Stationery,53,10,0
tue,Stationery,43,4,1
sun,Stationery,37,2,0
thu,Cosmetics,29,9,0
fri,Stationery,12,5,1
mon,Stationery,60,1,1
fri,Household,73,8,0
fri,Software,89,8,1
mon,Food,42,3,0
thu,Books,37,10,0
thu,Household,92,7,1
mon,Jewelry,72,9,1
wed,Books,4,3,1
tue,Furniture,19,10,0
fri,Stationery,45,3,1
fri,Toys,48,4,1
wed,Stationery,45,6,0
sat,Electronics,64,6,0
sun,Electronics,23,5,1
tue,Toys,19,7,0
sat,Food,56,3,0
sun,Software,84,5,0
tue,Stationery,17,7,0
mon,Books,45,4,0
fri,Electronics,38,9,1
thu,Toys,99,7,1
tue,Household,91,8,1
wed,Food,25,1,0
fri,Electronics,75,9,0
thu,Apparel,96,9,0
sun,Cosmetics,90,3,1
thu,Cosmetics,11,9,0
fri,Furniture,96,9,0
fri,Jewelry,97,2,0
thu,Books,53,9,1
mon,Virtual Goods,93,6,1
sat,Toys,45,8,1
fri,Furniture,29,1,1
sat,Cosmetics,67,5,1
sat,Toys,36,10,0
sun,Furniture,45,1,0
sun,Food,73,1,0
thu,Collectible,76,7,0
fri,Food,57,5,0
sun,Food,49,7,0
thu,Jewelry,14,10,0
wed,Software,80,6,0
wed,Furniture,54,2,0
wed,Books,49,3,0
sat,Cosmetics,90,8,1
wed,Cosmetics,70,1,1
sun,Collectible,93,5,1
sun,Furniture,60,4,1
tue,Toys,95,2,0
tue,Collectible,84,10,0
sat,Collectible,73,4,0
wed,Furniture,69,7,0
tue,Collectible,19,2,1
thu,Apparel,28,6,0
tue,Software,84,9,1
wed,Jewelry,67,3,1
tue,Electronics,40,3,0
mon,Jewelry,9,4,1
sun,Food,31,5,1
sat,Cosmetics,98,2,1
sun,Stationery,99,1,0
wed,Cosmetics,9,2,0
mon,Food,36,1,0
mon,Virtual Goods,24,5,0
sat,Collectible,98,6,0
